tree_id,latitude,longitude
343041,40.75785314,-73.96161867
295683,40.74682648,-73.97468618
315731,40.77599179,-73.96001581
295682,40.74735627,-73.97434091
315733,40.77607749,-73.95995331
290204,40.77529579,-73.96195829
344041,40.81259141,-73.96194535
343032,40.75756301,-73.96092965
343033,40.75759651,-73.96100922
343044,40.75795685,-73.96186497
310631,40.76351445,-73.99305672
343043,40.75791164,-73.96175761
344042,40.81271625,-73.96185431
343040,40.75782522,-73.96155236
343046,40.75807506,-73.9621457
304836,40.74886023,-73.97188189
333952,40.75555996,-73.9935033
331469,40.75951973,-73.99167636
343035,40.75767895,-73.961205
343042,40.75788505,-73.96169445
343045,40.7580131,-73.96199855
295673,40.76193432,-73.97273664
311065,40.76200944,-73.99329396
349468,40.81201028,-73.96172705
349470,40.81211243,-73.96197139
343039,40.75779197,-73.96147341
295675,40.7618689,-73.97278396
311066,40.76205694,-73.99340626
343048,40.75816654,-73.96236296
349508,40.81234571,-73.96252258
343953,40.77772506,-73.95955377
295674,40.76189897,-73.97276222
347323,40.75882645,-73.96547606
295684,40.74685895,-73.9747632
343047,40.75811335,-73.96223664
299174,40.77091369,-73.96316346
349510,40.81225905,-73.96231485
343767,40.81678394,-73.93946642
344048,40.81339426,-73.96135989
355291,40.75556121,-73.96225736
343954,40.77777112,-73.95966302
344045,40.81309559,-73.96157769
343955,40.77779934,-73.95972996
344044,40.81297075,-73.96166873
349509,40.81230264,-73.96241935
349079,40.76498093,-73.99265269
349491,40.81150935,-73.9637275
349469,40.81207194,-73.96187454
344046,40.81318442,-73.96151291
349466,40.81192824,-73.96153082
344047,40.81326365,-73.96145513
299175,40.77096191,-73.9632769
299176,40.77100263,-73.9633727
355292,40.7557244,-73.96264354
304840,40.74858128,-73.97121536
349300,40.76452194,-73.99322288
349490,40.81144452,-73.96377476
313687,40.76820289,-73.96503438
313380,40.77803095,-73.94989796
349467,40.8119719,-73.96163526
349303,40.76439004,-73.99290878
88881,40.7952734,-73.96960283
343862,40.81854131,-73.94491402
343930,40.81538594,-73.96080434
313685,40.7681337,-73.9648706
351489,40.7385244,-74.00562651
313381,40.7780024,-73.94983044
316154,40.75866215,-73.96353838
316157,40.75878188,-73.96382254
349179,40.76546472,-73.99157385
349180,40.76543081,-73.99149292
316156,40.75874782,-73.96374171
313688,40.76823515,-73.96511075
